Household,Timestamp,Power Usage (kW)
Household 2,2024-08-25 06:57:02.058512,220.02
Household 2,2024-08-25 07:57:02.058512,194.79
Household 2,2024-08-25 08:57:02.058512,161.57
Household 2,2024-08-25 09:57:02.058512,192.33
Household 2,2024-08-25 10:57:02.058512,213.69
Household 2,2024-08-25 11:57:02.058512,173.46
Household 2,2024-08-25 12:57:02.058512,166.43
Household 2,2024-08-25 13:57:02.058512,198.25
Household 2,2024-08-25 14:57:02.058512,234.01
Household 2,2024-08-25 15:57:02.058512,185.04
Household 2,2024-08-25 16:57:02.058512,199.81
Household 2,2024-08-25 17:57:02.058512,228.89
Household 2,2024-08-25 18:57:02.058512,165.86
Household 2,2024-08-25 19:57:02.058512,217.99
Household 2,2024-08-25 20:57:02.058512,248.36
Household 3,2024-08-24 21:57:02.058512,284.73
Household 3,2024-08-24 22:57:02.058512,332.15
Household 3,2024-08-24 23:57:02.058512,305.34
Household 3,2024-08-25 00:57:02.058512,277.51
Household 3,2024-08-25 01:57:02.058512,319.47
Household 3,2024-08-25 02:57:02.058512,254.24
Household 3,2024-08-25 03:57:02.058512,285.47
Household 3,2024-08-25 04:57:02.058512,294.75
Household 3,2024-08-25 05:57:02.058512,316.26
Household 3,2024-08-25 06:57:02.058512,276.67
Household 3,2024-08-25 07:57:02.058512,326.54
Household 3,2024-08-25 08:57:02.058512,284.46
Household 3,2024-08-25 09:57:02.058512,305.87
Household 3,2024-08-25 10:57:02.058512,334.78
Household 3,2024-08-25 11:57:02.058512,331.57
Household 3,2024-08-25 12:57:02.058512,336.3
Household 3,2024-08-25 13:57:02.058512,342.89
Household 3,2024-08-25 14:57:02.058512,320.9
Household 3,2024-08-25 15:57:02.058512,308.28
Household 3,2024-08-25 16:57:02.058512,288.74
Household 3,2024-08-25 17:57:02.058512,315.19
Household 3,2024-08-25 18:57:02.058512,268.93
Household 3,2024-08-25 19:57:02.058512,296.11
Household 3,2024-08-25 20:57:02.058512,344.5
Household 4,2024-08-24 21:57:02.058512,432.96
Household 4,2024-08-24 22:57:02.058512,382.52
Household 4,2024-08-24 23:57:02.058512,407.34
Household 4,2024-08-25 00:57:02.058512,355.67
Household 4,2024-08-25 01:57:02.058512,401.94
Household 4,2024-08-25 02:57:02.058512,377.07
Household 4,2024-08-25 03:57:02.058512,414.19
Household 4,2024-08-25 04:57:02.058512,426.41
Household 4,2024-08-25 05:57:02.058512,424.79
Household 4,2024-08-25 06:57:02.058512,380.18
Household 4,2024-08-25 07:57:02.058512,371.47
Household 4,2024-08-25 08:57:02.058512,386.7
Household 4,2024-08-25 09:57:02.058512,395.79
Household 4,2024-08-25 10:57:02.058512,437.3
Household 4,2024-08-25 11:57:02.058512,439.9
Household 4,2024-08-25 12:57:02.058512,419.37
Household 4,2024-08-25 13:57:02.058512,402.2
Household 4,2024-08-25 14:57:02.058512,444.02
Household 4,2024-08-25 15:57:02.058512,417.77
Household 4,2024-08-25 16:57:02.058512,385.18
Household 4,2024-08-25 17:57:02.058512,355.36
Household 4,2024-08-25 18:57:02.058512,441.31
Household 4,2024-08-25 19:57:02.058512,403.29
Household 4,2024-08-25 20:57:02.058512,416.1
Household 1,2024-08-25 21:57:02.058512,57.19
Household 1,2024-08-25 22:57:02.058512,98.82
Household 1,2024-08-25 23:57:02.058512,120.71
Household 1,2024-08-26 00:57:02.058512,86.4
Household 1,2024-08-26 01:57:02.058512,100.89
Household 1,2024-08-26 02:57:02.058512,80.26
Household 1,2024-08-26 03:57:02.058512,130.29
Household 1,2024-08-26 04:57:02.058512,75.91
Household 1,2024-08-26 05:57:02.058512,136.52
Household 1,2024-08-26 06:57:02.058512,85.4
Household 1,2024-08-26 07:57:02.058512,83.79
Household 1,2024-08-26 08:57:02.058512,98.83
Household 1,2024-08-26 09:57:02.058512,114.92
Household 1,2024-08-26 10:57:02.058512,140.59
Household 1,2024-08-26 11:57:02.058512,98.78
Household 1,2024-08-26 12:57:02.058512,103.42
Household 1,2024-08-26 13:57:02.058512,99.14
Household 1,2024-08-26 14:57:02.058512,144.72
Household 1,2024-08-26 15:57:02.058512,85.71
Household 1,2024-08-26 16:57:02.058512,141.55
Household 1,2024-08-26 17:57:02.058512,60.63
Household 1,2024-08-26 18:57:02.058512,127.94
Household 1,2024-08-26 19:57:02.058512,76.08
Household 1,2024-08-26 20:57:02.058512,65.54
Household 2,2024-08-25 21:57:02.058512,159.15
Household 2,2024-08-25 22:57:02.058512,174.15
Household 2,2024-08-25 23:57:02.058512,162.05
Household 2,2024-08-26 00:57:02.058512,166.44
Household 2,2024-08-26 01:57:02.058512,187.66
Household 2,2024-08-26 02:57:02.058512,162.33
Household 2,2024-08-26 03:57:02.058512,167.65
Household 2,2024-08-26 04:57:02.058512,234.25
Household 2,2024-08-26 05:57:02.058512,166.17
Household 2,2024-08-26 06:57:02.058512,155.71
Household 2,2024-08-26 07:57:02.058512,231.58
Household 2,2024-08-26 08:57:02.058512,225.59
Household 2,2024-08-26 09:57:02.058512,192.68
Household 2,2024-08-26 10:57:02.058512,203.83
Household 2,2024-08-26 11:57:02.058512,249.19
Household 2,2024-08-26 12:57:02.058512,211.38
Household 2,2024-08-26 13:57:02.058512,154.69
Household 2,2024-08-26 14:57:02.058512,162.12
Household 2,2024-08-26 15:57:02.058512,167.94
Household 2,2024-08-26 16:57:02.058512,187.24
Household 2,2024-08-26 17:57:02.058512,164.74
Household 2,2024-08-26 18:57:02.058512,207.95
Household 2,2024-08-26 19:57:02.058512,197.92
Household 2,2024-08-26 20:57:02.058512,186.58
Household 3,2024-08-25 21:57:02.058512,300.31
Household 3,2024-08-25 22:57:02.058512,334.95
Household 3,2024-08-25 23:57:02.058512,342.9
Household 3,2024-08-26 00:57:02.058512,251.55
Household 3,2024-08-26 01:57:02.058512,276.86
Household 3,2024-08-26 02:57:02.058512,320.25
Household 3,2024-08-26 03:57:02.058512,337.95
Household 3,2024-08-26 04:57:02.058512,301.75
Household 3,2024-08-26 05:57:02.058512,334.25
Household 3,2024-08-26 06:57:02.058512,327.51
Household 3,2024-08-26 07:57:02.058512,335.16
Household 3,2024-08-26 08:57:02.058512,275.28
Household 3,2024-08-26 09:57:02.058512,263.7
Household 3,2024-08-26 10:57:02.058512,285.96
Household 3,2024-08-26 11:57:02.058512,278.58
Household 3,2024-08-26 12:57:02.058512,308.37
Household 3,2024-08-26 13:57:02.058512,290.22
Household 3,2024-08-26 14:57:02.058512,298.09
Household 3,2024-08-26 15:57:02.058512,309.84
Household 3,2024-08-26 16:57:02.058512,282.01
Household 3,2024-08-26 17:57:02.058512,253.6
Household 3,2024-08-26 18:57:02.058512,257.82
Household 3,2024-08-26 19:57:02.058512,305.57
Household 3,2024-08-26 20:57:02.058512,296.93
Household 4,2024-08-25 21:57:02.058512,384.08
Household 4,2024-08-25 22:57:02.058512,414.4
Household 4,2024-08-25 23:57:02.058512,413.81
Household 4,2024-08-26 00:57:02.058512,434.8
Household 4,2024-08-26 01:57:02.058512,388.2
Household 4,2024-08-26 02:57:02.058512,424.71
Household 4,2024-08-26 03:57:02.058512,358.87
Household 4,2024-08-26 04:57:02.058512,445.93
Household 4,2024-08-26 05:57:02.058512,383.68
Household 4,2024-08-26 06:57:02.058512,360.85
Household 4,2024-08-26 07:57:02.058512,375.52
Household 4,2024-08-26 08:57:02.058512,434.81
Household 4,2024-08-26 09:57:02.058512,365.86
Household 4,2024-08-26 10:57:02.058512,356.09
Household 4,2024-08-26 11:57:02.058512,363.59
Household 4,2024-08-26 12:57:02.058512,438.9
Household 4,2024-08-26 13:57:02.058512,440.2
Household 4,2024-08-26 14:57:02.058512,398.94
Household 4,2024-08-26 15:57:02.058512,390.46
Household 4,2024-08-26 16:57:02.058512,356.95
Household 4,2024-08-26 17:57:02.058512,391.38
Household 4,2024-08-26 18:57:02.058512,399.57
Household 4,2024-08-26 19:57:02.058512,441.36
Household 4,2024-08-26 20:57:02.058512,360.93
Household 1,2024-08-26 21:57:02.058512,116.72
Household 1,2024-08-26 22:57:02.058512,98.52
Household 1,2024-08-26 23:57:02.058512,120.89
Household 1,2024-08-27 00:57:02.058512,93.28
Household 1,2024-08-27 01:57:02.058512,129.67
Household 1,2024-08-27 02:57:02.058512,60.66
Household 1,2024-08-27 03:57:02.058512,83.43
Household 1,2024-08-27 04:57:02.058512,102.85
Household 1,2024-08-27 05:57:02.058512,118.4
Household 1,2024-08-27 06:57:02.058512,112.11
Household 1,2024-08-27 07:57:02.058512,116.35
Household 1,2024-08-27 08:57:02.058512,103.62
Household 1,2024-08-27 09:57:02.058512,85.28
Household 1,2024-08-27 10:57:02.058512,142.77
Household 1,2024-08-27 11:57:02.058512,52.9
Household 1,2024-08-27 12:57:02.058512,119.26
Household 1,2024-08-27 13:57:02.058512,66.35
Household 1,2024-08-27 14:57:02.058512,106.6
Household 1,2024-08-27 15:57:02.058512,141.85
Household 1,2024-08-27 16:57:02.058512,144.78
Household 1,2024-08-27 17:57:02.058512,133.78
Household 1,2024-08-27 18:57:02.058512,137.39
Household 1,2024-08-27 19:57:02.058512,66.79
Household 1,2024-08-27 20:57:02.058512,77.42
Household 2,2024-08-26 21:57:02.058512,249.91
Household 2,2024-08-26 22:57:02.058512,223.57
Household 2,2024-08-26 23:57:02.058512,227.15
Household 2,2024-08-27 00:57:02.058512,239.32
Household 2,2024-08-27 01:57:02.058512,196.26
Household 2,2024-08-27 02:57:02.058512,184.74
Household 2,2024-08-27 03:57:02.058512,201.91
Household 2,2024-08-27 04:57:02.058512,232.07
Household 2,2024-08-27 05:57:02.058512,181.14
Household 2,2024-08-27 06:57:02.058512,172.02
Household 2,2024-08-27 07:57:02.058512,152.2
Household 2,2024-08-27 08:57:02.058512,228.11
Household 2,2024-08-27 09:57:02.058512,189.84
Household 2,2024-08-27 10:57:02.058512,199.62
Household 2,2024-08-27 11:57:02.058512,172.64
Household 2,2024-08-27 12:57:02.058512,213.63
Household 2,2024-08-27 13:57:02.058512,229.42
Household 2,2024-08-27 14:57:02.058512,215.63
Household 2,2024-08-27 15:57:02.058512,230.42
Household 2,2024-08-27 16:57:02.058512,163.07
Household 2,2024-08-27 17:57:02.058512,245.41
Household 2,2024-08-27 18:57:02.058512,172.03
Household 2,2024-08-27 19:57:02.058512,189.1
Household 2,2024-08-27 20:57:02.058512,228.17
Household 3,2024-08-26 21:57:02.058512,325.75
Household 3,2024-08-26 22:57:02.058512,324.06
Household 3,2024-08-26 23:57:02.058512,282.25
Household 3,2024-08-27 00:57:02.058512,348.66
Household 3,2024-08-27 01:57:02.058512,323.46
Household 3,2024-08-27 02:57:02.058512,342.2
Household 3,2024-08-27 03:57:02.058512,315.88
Household 3,2024-08-27 04:57:02.058512,308.94
Household 3,2024-08-27 05:57:02.058512,319.78
Household 3,2024-08-27 06:57:02.058512,293.84
Household 3,2024-08-27 07:57:02.058512,305.35
Household 3,2024-08-27 08:57:02.058512,324.55
Household 3,2024-08-27 09:57:02.058512,257.02
Household 3,2024-08-27 10:57:02.058512,297.78
Household 3,2024-08-27 11:57:02.058512,331.62
Household 3,2024-08-27 12:57:02.058512,325.54
Household 3,2024-08-27 13:57:02.058512,263.69
Household 3,2024-08-27 14:57:02.058512,309.63
Household 3,2024-08-27 15:57:02.058512,302.21
Household 3,2024-08-27 16:57:02.058512,348.07
Household 3,2024-08-27 17:57:02.058512,336.34
Household 3,2024-08-27 18:57:02.058512,299.77
Household 3,2024-08-27 19:57:02.058512,319.53
Household 3,2024-08-27 20:57:02.058512,274.14
Household 4,2024-08-26 21:57:02.058512,365.47
Household 4,2024-08-26 22:57:02.058512,436.07
Household 4,2024-08-26 23:57:02.058512,366.15
Household 4,2024-08-27 00:57:02.058512,379.83
Household 4,2024-08-27 01:57:02.058512,409.06
Household 4,2024-08-27 02:57:02.058512,426.23
